Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,QuantBatchMatmulV3_ND_NZ_int8_int8_bf16_high_performance_24,KERNEL_MIX_AIC,36,55559,17.740,1790315215733972.245	,1790315215733989.985	
0,N/A,EVENT_RECORD,36,55560,0.020,1790315215734119.928	,1790315215734119.948	
0,N/A,EVENT_WAIT,47,29796,0.020,1790315215734179.989	,1790315215734180.009	
0,Add_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210000000,KERNEL_AIVEC,47,29797,7.800,1790315215734409.653	,1790315215734417.454	
0,HcPost_d2fe6614722b27afa6f8d964c215447e_0,KERNEL_AIVEC,47,29798,7.700,1790315215734586.077	,1790315215734593.777	
0,HcPre_c12a9d608e5abdbd1728e849208025ff_0,KERNEL_MIX_AIC,47,29799,31.440,1790315215734728.940	,1790315215734760.380	
0,RmsNorm_normal_all_bf16_high_performance_0,KERNEL_AIVEC,47,29800,4.900,1790315215734800.641	,1790315215734805.541	
0,N/A,EVENT_RECORD,47,29801,0.200,1790315215735226.670	,1790315215735226.870	
0,N/A,EVENT_WAIT,38,2903,0.020,1790315215735229.470	,1790315215735229.490	
0,aiv_all_gather_bfloat16_t,KERNEL_AIVEC,38,2904,10.740,1790315215735296.511	,1790315215735307.251	
0,N/A,EVENT_RECORD,38,2905,0.020,1790315215735363.513	,1790315215735363.533	
0,N/A,EVENT_RECORD,38,2906,0.200,1790315215735366.693	,1790315215735366.893	
0,DynamicQuant_bf16_1_high_performance_100,KERNEL_AIVEC,47,29802,3.860,1790315215735394.933	,1790315215735398.793	
0,QuantBatchMatmulV3_ND_NZ_int8_int8_bf16_high_performance_24,KERNEL_MIX_AIC,47,29803,16.500,1790315215735501.395	,1790315215735517.896	
0,RmsNormDynamicQuant_a24014a99c880e660456f6930bd3808a_1,KERNEL_AIVEC,47,29804,6.960,1790315215735648.018	,1790315215735654.978	
0,QuantBatchMatmulV3_ND_NZ_int8_int8_bf16_high_performance_24,KERNEL_MIX_AIC,47,29805,35.300,1790315215735754.960	,1790315215735790.261	
0,triton_rms_kernel,KERNEL_AIVEC,47,29806,13.540,1790315215736061.066	,1790315215736074.607	
0,InplacePartialRotaryMul_ec081ae2fec8ce00af9a8192bd55ef8c_11,KERNEL_AIVEC,47,29807,5.360,1790315215736213.730	,1790315215736219.090	
0,N/A,EVENT_WAIT,47,29808,0.000,1790315215736238.170	,1790315215736238.170	
0,DynamicQuant_bf16_1_high_performance_100,KERNEL_AIVEC,47,29809,7.100,1790315215736358.892	,1790315215736365.993	
0,QuantBatchMatmulV3_ND_NZ_int8_int8_bf16_high_performance_24,KERNEL_MIX_AIC,47,29810,13.820,1790315215736456.874	,1790315215736470.695	
0,RmsNorm_normal_all_bf16_high_performance_2,KERNEL_AIVEC,47,29811,10.120,1790315215736558.976	,1790315215736569.097	
0,InplacePartialRotaryMul_ec081ae2fec8ce00af9a8192bd55ef8c_12,KERNEL_AIVEC,47,29812,9.800,1790315215736716.380	,1790315215736726.180	
0,ScatterNdUpdateSk_3b70bd1dfff14ea76aa6465d526da019_11,KERNEL_MIX_AIV,47,29813,26.120,1790315215736797.001	,1790315215736823.122	
0,SparseAttnSharedkv_7d53da980fa2b93856b96304fde51fcc_2,KERNEL_MIX_AIC,47,29814,22.821,1790315215736943.964	,1790315215736966.785	
0,Neg_5c5e58e043224cccf51a06108010ae13_high_performance_210000000,KERNEL_AIVEC,47,29815,0.880,1790315215737057.106	,1790315215737057.986	
0,InplacePartialRotaryMul_ec081ae2fec8ce00af9a8192bd55ef8c_11,KERNEL_AIVEC,47,29816,5.040,1790315215737129.828	,1790315215737134.868	
0,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_1,KERNEL_AIVEC,47,29817,11.820,1790315215737216.350	,1790315215737228.170	
0,N/A,EVENT_WAIT,38,2907,5.520,1790315215737321.332	,1790315215737326.852	
0,N/A,EVENT_RECORD,47,29818,0.020,1790315215737326.312	,1790315215737326.332	
0,aiv_all_to_all_bfloat16_t,KERNEL_AIVEC,38,2908,12.720,1790315215737391.233	,1790315215737403.953	
0,N/A,EVENT_RECORD,38,2909,0.200,1790315215737452.594	,1790315215737452.794	
0,N/A,EVENT_RECORD,38,2910,0.020,1790315215737455.554	,1790315215737455.574	
0,N/A,EVENT_WAIT,47,29819,0.020,1790315215737476.715	,1790315215737476.735	
0,TransposeBatchMatMul_ND_ND_ND_ND_ND_BF16_BF16_BF16_INT64_BF16_high_performance_32,KERNEL_AICORE,47,29820,33.580,1790315215737566.457	,1790315215737600.037	
0,MatMulV2_ND_ND_FP16_FP16_false_true_all_98498,KERNEL_AICORE,47,29821,18.400,1790315215737810.661	,1790315215737829.062	
0,N/A,EVENT_WAIT,38,2911,4.420,1790315215737975.985	,1790315215737980.405	
0,N/A,EVENT_RECORD,47,29822,0.020,1790315215737979.925	,1790315215737979.945	
0,aiv_reduce_scatter_bfloat16_t,KERNEL_AIVEC,38,2912,12.440,1790315215738041.586	,1790315215738054.026	
0,N/A,EVENT_RECORD,38,2913,0.020,1790315215738087.847	,1790315215738087.867	
0,N/A,EVENT_RECORD,38,2914,0.020,1790315215738097.347	,1790315215738097.367	
0,N/A,EVENT_WAIT,47,29823,0.020,1790315215738104.787	,1790315215738104.807	
0,N/A,MEMCPY_ASYNC,47,29824,0.740,1790315215738192.289	,1790315215738193.029	
0,HcPost_d2fe6614722b27afa6f8d964c215447e_0,KERNEL_AIVEC,47,29825,7.480,1790315215738390.413	,1790315215738397.893	
0,HcPre_c12a9d608e5abdbd1728e849208025ff_0,KERNEL_MIX_AIC,47,29826,31.440,1790315215738512.135	,1790315215738543.576	
0,RmsNorm_normal_all_bf16_high_performance_0,KERNEL_AIVEC,47,29827,4.700,1790315215738586.637	,1790315215738591.337	
0,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,KERNEL_AIVEC,47,29828,8.040,1790315215738735.180	,1790315215738743.220	
0,N/A,EVENT_RECORD,47,29829,0.020,1790315215738883.303	,1790315215738883.323	
0,MatMulV2_ND_ND_FP32_FP32_false_true_all_65665,KERNEL_AICORE,47,29830,13.660,1790315215738991.445	,1790315215739005.105	
0,N/A,EVENT_RECORD,47,29831,0.200,1790315215739115.667	,1790315215739115.867	
0,N/A,EVENT_WAIT,38,2915,6.860,1790315215739362.992	,1790315215739369.853	
0,N/A,EVENT_RECORD,47,29832,0.020,1790315215739369.393	,1790315215739369.413	
0,aiv_all_gather_bfloat16_t,KERNEL_AIVEC,38,2916,10.740,1790315215739411.533	,1790315215739422.274	
0,N/A,EVENT_RECORD,38,2917,0.200,1790315215739483.155	,1790315215739483.355	
0,N/A,EVENT_RECORD,38,2918,0.020,1790315215739486.615	,1790315215739486.635	
0,N/A,EVENT_WAIT,47,29833,0.020,1790315215739490.475	,1790315215739490.495	
0,N/A,EVENT_WAIT,38,2919,6.120,1790315215739666.698	,1790315215739672.819	
0,N/A,EVENT_RECORD,47,29834,0.020,1790315215739672.359	,1790315215739672.379	
0,aiv_all_gather_float,KERNEL_AIVEC,38,2920,5.360,1790315215739723.880	,1790315215739729.240	
0,N/A,EVENT_RECORD,38,2921,0.220,1790315215739769.861	,1790315215739770.081	
0,N/A,EVENT_RECORD,38,2922,0.200,1790315215739773.281	,1790315215739773.481	
0,N/A,EVENT_WAIT,47,29835,0.020,1790315215739780.561	,1790315215739780.581	
0,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,KERNEL_AIVEC,47,29836,1.080,1790315215739945.844	,1790315215739946.924	
0,Equal_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,KERNEL_AIVEC,47,29837,1.780,1790315215740008.605	,1790315215740010.385	
0,Fill_41dadce325b0f810d03359af2a38990b_high_performance_210000000,KERNEL_AIVEC,47,29838,1.140,1790315215740032.346	,1790315215740033.486	
0,SelectV2_a32d70ed63082227463347a44bd5a08e_high_performance_220000000,KERNEL_AIVEC,47,29839,1.980,1790315215740057.426	,1790315215740059.406	
0,MoeGatingTopKHash_c9fe881608378d9bec1f72b77dd57c53_6,KERNEL_AIVEC,47,29840,11.120,1790315215740196.429	,1790315215740207.549	
0,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,KERNEL_AIVEC,47,29841,0.960,1790315215740245.010	,1790315215740245.970	
0,N/A,EVENT_RECORD,47,29842,0.020,1790315215740486.855	,1790315215740486.875	
0,IndexCheck_int32_high_performance_1,KERNEL_AIVEC,47,29843,10.620,1790315215740614.737	,1790315215740625.358	
