3613662705953554,3613662708346230,3613662708560331,3613662708957374,12,8,32899
3613662771416424,3613662772405231,3613662772534525,3613662772982816,12,8,32900
3613662834141053,3613662837197750,3613662837326874,3613662837835972,12,8,32903
3613662900481574,3613662902083035,3613662902232768,3613662902681119,12,8,32906
3613662964169841,3613662966357856,3613662966547528,3613662967037106,12,8,32910
3613663028964840,3613663030851078,3613663031007721,3613663031485060,12,8,32914
3613663093544088,3613663096015661,3613663096202352,3613663096674562,12,8,32915
3613663160708644,3613663160885256,3613663161016810,3613663161403373,12,8,32919
3613663222227745,3613663225669205,3613663225834128,3613663226246780,12,8,32924
3613663289415830,3613663290237434,3613663290362528,3613663290756361,12,8,32928
3613663352431076,3613663354438238,3613663354593762,3613663355063221,11,8,32935
3613663417157318,3613663417491413,3613663417601548,3613663417986721,11,8,32939
3613663478643860,3613663480241531,3613663480378065,3613663480770338,11,8,32944
3613663544680355,3613663544989172,3613663545210302,3613663545605045,10,8,32945
3613664109669156,3613664109853108,3613664109984552,3613664110388404,9,8,32969
3613665110006063,3613665110181645,3613665110318309,3613665110712602,12,8,32859
3613665171915088,3613665172609278,3613665172741963,3613665173071078,12,8,32865
3613665237516474,3613665240748544,3613665240891988,3613665241217504,12,8,32868
3613665304617225,3613665304782178,3613665304914012,3613665305229398,12,8,32869
3613665370031179,3613665370203701,3613665370335765,3613665370745588,9,8,32965
3613665432042440,3613665432198713,3613665432332567,3613665432724600,9,8,32968
3613665494869836,3613665496147101,3613665496297604,3613665496742725,8,8,32874
3613665557985589,3613665559690415,3613665559818930,3613665560225902,8,8,32875
3613666056034171,3613666056210784,3613666056344708,3613666056751740,8,8,32877
3613668428606062,3613668428810203,3613668428945437,3613668429274333,12,8,32859
3613668490168460,3613668491251383,3613668491376368,3613668491700504,12,8,32865
3613668553387346,3613668553896354,3613668554023699,3613668554343685,12,8,32867
3613668615073029,3613668616201150,3613668616323235,3613668616635941,12,8,32868
3613668677759089,3613668678482258,3613668678611343,3613668678933529,12,8,32873
3613668739613020,3613668740042212,3613668740176996,3613668740496172,12,8,32874
3613668800816689,3613668802405960,3613668802537305,3613668802858241,12,8,32876
3613668865123454,3613668865284027,3613668865396922,3613668865809725,12,8,32877
3613668926410939,3613668927651236,3613668927779770,3613668928232401,12,8,32878
3613668989372662,3613668990554782,3613668990681976,3613668991003472,12,8,32883
3613669052358075,3613669052535207,3613669052666481,3613669053062734,12,8,32885
3613669113805663,3613669115391125,3613669115521079,3613669115843035,12,8,32889
